file_number,text,title,type
000001,"File: 000001 | Title: Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program. | Name: Reserved Funds, Department of Children, Youth and Their Families | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Finance and Labor Committee","Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program.",Hearing
000296,"File: 000296 | Title: Hearing of persons interested in or objecting to the decision of the Planning Commission by its Motion No. 14936 dated January 13, 2000, approving Conditional Use Application No. 99.489C allowing the intensification of a legal nonconforming nighttime entertainment use by permitting live entertainment; and, disapproving after hours live entertainment, in an SLR (Service/Light Industrial/Residential) District and within the South of Market Mixed Use Housing District with a 50-X Height and Bulk Designation, on property located at 201 Ninth Street, Lot 82 in Assessor’s Block 3729. | Name: Public Hearing - Appeal, Conditional Use, 201 Ninth Street | Type: Hearing | Status: Filed | Introduced: 2000-02-22 | Body: Board of Supervisors","Hearing of persons interested in or objecting to the decision of the Planning Commission by its Motion No. 14936 dated January 13, 2000, approving Conditional Use Application No. 99.489C allowing the intensification of a legal nonconforming nighttime entertainment use by permitting live entertainment; and, disapproving after hours live entertainment, in an SLR (Service/Light Industrial/Residential) District and within the South of Market Mixed Use Housing District with a 50-X Height and Bulk Designation, on property located at 201 Ninth Street, Lot 82 in Assessor’s Block 3729.",Hearing
000297,"File: 000297 | Title: Motion approving decision of the Planning Commission by its Motion No. 14936 approving Conditional Use Application No. 99.489C on property located at 201 Ninth Street, and adopting findings pursuant to Planning Code Section 101.1. | Name: Appeal, Conditional Use, 201 Ninth Street | Type: Motion | Status: Killed | Introduced: 2000-02-22 | Body: Board of Supervisors","Motion approving decision of the Planning Commission by its Motion No. 14936 approving Conditional Use Application No. 99.489C on property located at 201 Ninth Street, and adopting findings pursuant to Planning Code Section 101.1.",Motion
000298,"File: 000298 | Title: Motion disapproving decision of the Planning Commission by its Motion No. 14936 approving Conditional Use Application No. 99.489C on property located at 201 Ninth Street; approving Conditional Use Application No. 99.489C related to 201 Ninth Street, subject to the conditions imposed by Planning Commission in its Motion No. 14936, except that an after hours permit shall be issued for the nights starting on Thursday, Friday and Saturday until 3 a.m. only and a place of entertainment permit shall be issued for 7 days per week and further subject to additional conditions imposed by the Board of Supervisors as set forth herein; and adopting findings pursuant to Planning Code Section 101.1. | Name: Appeal, Conditional Use, 201 Ninth Street | Type: Motion | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","Motion disapproving decision of the Planning Commission by its Motion No. 14936 approving Conditional Use Application No. 99.489C on property located at 201 Ninth Street; approving Conditional Use Application No. 99.489C related to 201 Ninth Street, subject to the conditions imposed by Planning Commission in its Motion No. 14936, except that an after hours permit shall be issued for the nights starting on Thursday, Friday and Saturday until 3 a.m. only and a place of entertainment permit shall be issued for 7 days per week and further subject to additional conditions imposed by the Board of Supervisors as set forth herein; and adopting findings pursuant to Planning Code Section 101.1.",Motion
000299,"File: 000299 | Title: Motion directing the Clerk of the Board to prepare findings relating to proposed Conditional Use Application No. 99.498C on property located at 201 Ninth Street, for action by the Board at its next meeting. | Name: Findings - 201 Ninth Street | Type: Motion | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","Motion directing the Clerk of the Board to prepare findings relating to proposed Conditional Use Application No. 99.498C on property located at 201 Ninth Street, for action by the Board at its next meeting.",Motion
000300,"File: 000300 | Title: Ordinance authorizing settlement of litigation of Caryn Lamp ($110,000), Leland Lamp ($1,000), and Mariah Lamp ($4,000) by and through her Guardian Ad Litem against the City and County of San Francisco for a total amount of $115,000. | Name: Settlement of Lawsuit | Type: Ordinance | Status: Passed | Introduced: 2000-02-22 | Body: Board of Supervisors","Ordinance authorizing settlement of litigation of Caryn Lamp ($110,000), Leland Lamp ($1,000), and Mariah Lamp ($4,000) by and through her Guardian Ad Litem against the City and County of San Francisco for a total amount of $115,000.",Ordinance
000301,File: 000301 | Title: Resolution urging the Department of Parking and Traffic to develop a comprehensive and strategic plan to address pedestrian and traffic issues. | Name: Strategic Plan for Pedestrian and Traffic Issues | Type: Resolution | Status: Filed | Introduced: 2000-02-14 | Body: Clerk of the Board,Resolution urging the Department of Parking and Traffic to develop a comprehensive and strategic plan to address pedestrian and traffic issues.,Resolution
000302,File: 000302 | Title: Resolution adding two seats to the Sustainable Funding for School Arts and Music Task Force: an at-large seat who shall be a teacher in the San Francisco Unified School District and an at-large seat who shall be a member of an arts advocacy organization. | Name: Sustainable Funding for School Arts and Music Task Force | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution adding two seats to the Sustainable Funding for School Arts and Music Task Force: an at-large seat who shall be a teacher in the San Francisco Unified School District and an at-large seat who shall be a member of an arts advocacy organization.,Resolution
000303,"File: 000303 | Title: Resolution being aware of the hundred of individuals who died homeless in our community over the years and declaring February 27, 2000 ""A Day of Love and Sorrow, Remembering the 169 Men, Women and Children Who Died Homeless in San Francisco in 1999"". | Name: A Day of Love and Sorrow | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Resolution being aware of the hundred of individuals who died homeless in our community over the years and declaring February 27, 2000 ""A Day of Love and Sorrow, Remembering the 169 Men, Women and Children Who Died Homeless in San Francisco in 1999"".",Resolution
000304,"File: 000304 | Title: Resolution commending the Bay Area Urban League, Inc. on its 54 year anniversary. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Resolution commending the Bay Area Urban League, Inc. on its 54 year anniversary.",Resolution
000305,File: 000305 | Title: Resolution commending the Center for California Studies for its Capital Fellowship Program. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution commending the Center for California Studies for its Capital Fellowship Program.,Resolution
000306,File: 000306 | Title: Resolution commending the Harvey Milk Institute on its fifth anniversary for the important work it accomplishes in education and community empowerment. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution commending the Harvey Milk Institute on its fifth anniversary for the important work it accomplishes in education and community empowerment.,Resolution
000307,"File: 000307 | Title: Resolution commending Susan Kim, departing Director of the San Francisco Youth Commission. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors","Resolution commending Susan Kim, departing Director of the San Francisco Youth Commission.",Resolution
000308,File: 000308 | Title: Resolution commending Pathways for Kids for providing mentorship to at risk youth. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-02-14 | Body: Board of Supervisors,Resolution commending Pathways for Kids for providing mentorship to at risk youth.,Resolution
000309,"File: 000309 | Title: Resolution determining and declaring that the public interest and necessity demand municipal improvements consisting of the acquisition, rehabilitation, renovation, improvement, construction or reconstruction by the City and County of San Francisco General Hospital and/or certain community health network primary care centers located within the City and County of San Francisco, and all other works, property and structures necessary or convenient for the foregoing purposes, that the estimated cost of $97,010,700 for said Municipal improvements is and will be too great to be paid out of the ordinary annual income and revenue of said City and County and will require the incurring of bonded indebtedness; finding the proposed project is in conformity with the priority policies of the Planning Code Section 101.1(b) and with the General Plan consistency requirement of Administrative Code Section 2A.53. | Name: Hospital General Obligation Bond | Type: Resolution | Status: Filed | Introduced: 2000-02-14 | Body: Clerk of the Board","Resolution determining and declaring that the public interest and necessity demand municipal improvements consisting of the acquisition, rehabilitation, renovation, improvement, construction or reconstruction by the City and County of San Francisco General Hospital and/or certain community health network primary care centers located within the City and County of San Francisco, and all other works, property and structures necessary or convenient for the foregoing purposes, that the estimated cost of $97,010,700 for said Municipal improvements is and will be too great to be paid out of the ordinary annual income and revenue of said City and County and will require the incurring of bonded indebtedness; finding the proposed project is in conformity with the priority policies of the Planning Code Section 101.1(b) and with the General Plan consistency requirement of Administrative Code Section 2A.53.",Resolution
